

[2020-11-04 18:21:12] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 18:21:35] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-04 18:35:45] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 18:37:32] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 18:37:47] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 18:40:37] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 18:41:59] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 18:43:12] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 18:44:30] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 18:46:05] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 18:48:29] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-04 18:57:12] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 18:58:23] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 18:59:07] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:01:54] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:02:30] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-04 19:08:32] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:09:26] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:09:45] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:09:51] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:11:06] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:12:12] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:12:20] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:13:03] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:15:56] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:18:33] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:20:03] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:22:55] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:24:12] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:25:38] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:28:32] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:31:04] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:32:13] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:33:15] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:35:31] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-04 19:52:33] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:54:14] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:54:42] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:55:01] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:56:05] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:56:18] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:57:05] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:57:47] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:58:02] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 19:59:03] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:00:11] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:00:11] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-04 20:14:00] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:14:03] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:15:27] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:15:29] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:16:35] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:16:38] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:16:43] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:18:00] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:18:30] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:19:00] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:19:29] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:19:53] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:20:23] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:21:19] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:21:31] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:21:53] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:21:59] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:22:11] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:22:20] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:22:25] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:24:09] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:24:14] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:24:33] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:25:09] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:25:48] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:25:48] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:26:56] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:27:05] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:27:30] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:27:48] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:28:23] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:29:04] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:29:18] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:29:20] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:30:27] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:30:40] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:30:54] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:31:14] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:31:22] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:31:43] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:31:46] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:32:43] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:33:07] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:34:08] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:34:17] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:34:27] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:35:01] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:35:42] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:36:11] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:36:33] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:36:45] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:36:52] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:37:05] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:37:46] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:38:23] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:39:50] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:39:52] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:39:57] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:41:16] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:41:21] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:42:42] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:42:46] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:43:00] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:44:28] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:45:03] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:45:29] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:45:42] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:45:51] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:46:09] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:46:11] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:47:10] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:47:46] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:48:15] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:48:18] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:48:44] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:48:58] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:50:00] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:50:34] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:50:36] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:50:51] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:50:58] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
